latitude,longitude,elevation
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
44.085460000,-88.531118333,242.5
44.085460000,-88.531118333,242.5
44.085460000,-88.531118333,242.5
44.085460000,-88.531118333,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085460000,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531116667,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.5
44.085458333,-88.531115000,242.4
44.085458333,-88.531115000,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531113333,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085458333,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085456667,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531111667,242.4
44.085455000,-88.531110000,242.4
44.085455000,-88.531110000,242.4
44.085455000,-88.531110000,242.4
44.085455000,-88.531110000,242.4
44.085455000,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531110000,242.4
44.085453333,-88.531108333,242.4
44.085453333,-88.531108333,242.4
44.085453333,-88.531108333,242.4
