latitude, longitude,alt
45.632078333,-122.252486667,320.918649462
45.632078333,-122.252486667,323.095531515
45.632078333,-122.252486667,325.355416712
45.632078333,-122.252486667,327.925829048
45.632078333,-122.252486667,330.166768065
45.632078333,-122.252486667,332.100289166
45.632078333,-122.252486667,335.095548165
45.632078333,-122.252486667,336.923666569
45.632078333,-122.252486667,339.094400223
45.632078333,-122.252486667,341.089140708
45.632078333,-122.252486667,343.916759913
45.632078333,-122.252486667,345.91650829
45.632078333,-122.252486667,348.104270441
45.632076667,-122.252486667,350.346950578
45.632076667,-122.252486667,352.915549494
45.632076667,-122.252486667,355.17237437
45.632076667,-122.252486667,357.09977079
45.632076667,-122.252486667,360.083968482
45.632076667,-122.252486667,361.914315986
45.632076667,-122.252486667,364.100849679
45.632076667,-122.252486667,366.091632573
45.632076667,-122.252486667,368.920825536
45.632075,-122.252486667,370.910951365
45.632075,-122.252486667,373.091826803
45.632075,-122.252486667,375.320114463
45.632075,-122.252486667,377.901775007
45.632075,-122.252486667,380.157819652
45.632075,-122.252485,382.081078656
45.632075,-122.252485,385.077612497
45.632075,-122.252485,386.897872524
45.632075,-122.252485,389.080296352
45.632075,-122.252485,391.081903424
45.632075,-122.252485,393.897799166
45.632075,-122.252485,395.898172632
45.632075,-122.252485,398.080871252
45.632075,-122.252485,400.317901097
45.632075,-122.252485,402.898139546
45.632073333,-122.252485,405.142022091
45.632073333,-122.252485,407.068810549
45.632073333,-122.252485,410.075983041
45.632073333,-122.252485,411.895392144
45.632073333,-122.252485,414.076781651
45.632073333,-122.252485,416.078621131
45.632073333,-122.252485,418.895091673
45.632073333,-122.252485,420.891960996
45.632073333,-122.252486667,423.074343664
45.632071667,-122.252486667,425.320267264
45.632071667,-122.252486667,427.89319277
45.632071667,-122.252486667,430.140013286
45.632071667,-122.252486667,432.063197821
45.632071667,-122.252486667,435.070822576
45.632071667,-122.252486667,436.89754016
45.632071667,-122.252486667,439.061215295
45.63207,-122.252486667,441.069882219
45.63207,-122.252486667,443.897715152
45.63207,-122.252486667,445.899525433
45.63207,-122.252486667,448.071145118
45.63207,-122.252486667,450.310905097
45.63207,-122.252486667,452.889834674
45.63207,-122.252486667,455.143683141
45.63207,-122.252486667,457.062964575
45.632068333,-122.252486667,460.060270907
45.632068333,-122.252486667,461.889306411
45.632068333,-122.252486667,464.073192735
45.632068333,-122.252486667,466.070589736
45.632068333,-122.252486667,468.887615432
45.632066667,-122.252486667,470.889208692
45.632066667,-122.252486667,473.068765445
45.632066667,-122.252486667,475.30847832
45.632066667,-122.252486667,477.884030197
45.632066667,-122.252486667,480.13195171
45.632066667,-122.252486667,482.069603137
45.632065,-122.252486667,485.062771831
45.632065,-122.252486667,486.892040113
45.632065,-122.252486667,489.055420757
45.632065,-122.252486667,491.064189999
45.632065,-122.252486667,493.890082102
45.632065,-122.252486667,495.882839191
45.632065,-122.252486667,498.061067502
45.632063333,-122.252486667,500.312930553
45.632063333,-122.252486667,502.889856088
45.632063333,-122.252488333,505.129775209
45.632063333,-122.252488333,507.059866601
45.632063333,-122.252488333,510.052366418
45.632063333,-122.252488333,511.890199523
45.632061667,-122.252488333,514.05408159
45.632061667,-122.252488333,516.053987499
45.632061667,-122.252488333,518.886462399
45.632061667,-122.252488333,520.884096418
45.632061667,-122.252488333,523.05291835
45.632061667,-122.252488333,525.30758645
45.632061667,-122.252488333,527.886179653
45.632061667,-122.252488333,530.128245572
45.632061667,-122.252488333,532.056595381
45.63206,-122.252488333,535.017546244
45.63206,-122.252488333,536.875980404
45.63206,-122.252488333,539.048423331
45.63206,-122.252488333,541.057288188
45.63206,-122.252488333,543.876283802
45.63206,-122.252488333,545.882949036
45.63206,-122.25249,548.055229656
45.63206,-122.25249,550.265657856
45.63206,-122.25249,552.876812523
45.632058333,-122.25249,555.098191919
45.632058333,-122.25249,557.052062559
45.632058333,-122.25249,560.017016747
45.632058333,-122.25249,561.872671522
45.632058333,-122.25249,564.052113349
45.632058333,-122.25249,566.045923293
45.632058333,-122.25249,568.878664837
45.632058333,-122.25249,570.871092681
45.632058333,-122.252488333,573.05390469
45.632058333,-122.252488333,575.261106945
45.632058333,-122.25249,577.878541141
45.632056667,-122.25249,580.087920078
45.632056667,-122.25249,582.04963032
45.632056667,-122.25249,585.019587698
45.632056667,-122.25249,586.869127548
45.632056667,-122.25249,589.042701875
45.632056667,-122.25249,591.049437801
45.632056667,-122.25249,593.876333527
45.632055,-122.25249,595.870327184
45.632055,-122.25249,598.042551849
45.632055,-122.25249,600.259799958
45.632055,-122.25249,602.878173805
45.632055,-122.25249,605.083305899
45.632053333,-122.25249,607.049424107
45.632053333,-122.25249,610.01428394
45.632053333,-122.25249,611.873917192
45.632053333,-122.25249,614.041538365
45.632053333,-122.25249,616.047256116
45.632053333,-122.25249,618.866014767
45.632053333,-122.25249,620.871520754
45.632053333,-122.25249,623.037027347
45.632053333,-122.25249,625.254262181
45.632051667,-122.25249,627.872812722
45.632051667,-122.25249,630.090018005
45.632051667,-122.25249,632.03899579
45.632051667,-122.25249,635.00280447
45.632051667,-122.252491667,636.870568021
45.632051667,-122.252491667,639.0439239
45.632051667,-122.252491667,641.033707078
45.63205,-122.252491667,643.860461733
45.63205,-122.25249,645.860191577
45.63205,-122.25249,648.034715775
45.63205,-122.25249,650.262936464
45.63205,-122.25249,652.860255642
45.63205,-122.25249,655.077397138
45.63205,-122.25249,657.043487092
45.63205,-122.25249,659.997175281
45.63205,-122.25249,661.86007962
45.63205,-122.25249,664.032480999
45.632048333,-122.25249,666.041149478
45.632048333,-122.25249,668.857033018
45.632048333,-122.25249,670.854590605
45.632048333,-122.25249,673.030259849
45.632048333,-122.25249,675.233460834
45.632048333,-122.25249,677.864855352
45.632048333,-122.25249,680.076159455
45.632048333,-122.25249,682.041039336
45.632048333,-122.25249,684.99587009
45.632048333,-122.25249,686.864719954
45.632048333,-122.25249,689.029052969
45.632048333,-122.25249,691.038936724
45.632048333,-122.25249,693.854364427
45.632048333,-122.25249,695.853999008
45.632048333,-122.25249,698.028969618
45.632048333,-122.25249,700.251097232
45.632048333,-122.25249,702.863141521
45.632048333,-122.25249,705.071411166
45.632048333,-122.25249,707.024489151
45.632048333,-122.25249,709.996445367
45.632048333,-122.25249,711.85983115
45.632048333,-122.25249,714.021659275
45.632048333,-122.25249,716.031326952
45.632048333,-122.25249,718.850907865
45.632048333,-122.25249,720.860012703
45.632048333,-122.25249,723.023351317
45.632048333,-122.25249,725.249811797
45.632048333,-122.25249,727.844608642
45.632048333,-122.25249,730.065851189
45.632048333,-122.25249,732.006907607
45.632048333,-122.25249,734.986851014
45.632048333,-122.25249,736.846448512
45.632048333,-122.25249,739.026032224
45.632048333,-122.25249,741.0200476
45.632048333,-122.25249,743.846468659
45.632048333,-122.25249,745.85711387
45.632048333,-122.25249,748.028892326
45.632048333,-122.25249,750.24407692
45.632048333,-122.25249,752.846239404
45.632048333,-122.25249,755.061456513
45.632048333,-122.25249,757.025791294
45.632048333,-122.25249,759.993573229
45.632048333,-122.25249,761.846242929
45.632048333,-122.25249,764.020600727
45.63205,-122.25249,766.026444792
45.63205,-122.25249,768.853196262
45.63205,-122.25249,770.845007405
45.63205,-122.252491667,773.017628971
45.63205,-122.252491667,775.222176322
45.63205,-122.252491667,777.852139451
45.63205,-122.252491667,780.066361342
45.63205,-122.252491667,782.017406031
45.63205,-122.252491667,784.979995011
45.63205,-122.252491667,786.848646646
45.63205,-122.252491667,789.00575613
45.63205,-122.252491667,791.012962965
45.63205,-122.252491667,793.842085828
45.63205,-122.252491667,795.849847541
45.63205,-122.252491667,798.010969479
45.632051667,-122.252491667,800.238057047
45.632051667,-122.252491667,802.840756541
45.632051667,-122.252491667,805.062879581
45.632051667,-122.252491667,807.011736829
45.632051667,-122.252491667,809.985626135
45.632051667,-122.252491667,811.84130724
45.632051667,-122.252491667,814.019958392
45.632051667,-122.252491667,816.007455665
45.632051667,-122.252491667,818.83701546
45.632051667,-122.252491667,820.845106455
45.632051667,-122.252491667,823.017669086
45.632051667,-122.252491667,825.22358006
45.632051667,-122.252491667,827.835057048
45.632051667,-122.252491667,830.061373458
45.632051667,-122.252491667,832.008304338
45.632051667,-122.252491667,834.983087172
45.632051667,-122.252491667,836.833103967
45.632051667,-122.252491667,839.005124183
45.632051667,-122.252491667,841.001169355
45.632051667,-122.252491667,843.840984268
45.632051667,-122.252491667,845.832817426
45.632051667,-122.252491667,848.015240088
45.632051667,-122.252491667,850.226232053
